question,answer,source,focus_area
What is (are) Vasculitis Syndromes of the Central and Peripheral Nervous Systems ?,"Vasculitis is an inflammation of blood vessels, which includes the veins, arteries, and capillaries. Inflammation occurs with infection or is thought to be due to a faulty immune system response. It also can be caused by other immune system disease, an allergic reaction to medicines or toxins, and by certain blood cancers. Vasculitic disorders can cause problems in any organ system, including the central (CNS) and peripheral (PNS) nervous systems. Vasculitis disorders, or syndromes, of the CNS and PNS are characterized by the presence of inflammatory cells in and around blood vessels, and secondary narrowing or blockage of the blood vessels that nourish the brain, spinal cord, or peripheral nerves.
                
A vasculitic syndrome may begin suddenly or develop over time. Symptoms include headaches, especially a headache that doesnt go away; fever, rapid weight loss; confusion or forgetfulness leading to dementia; swelling of the brain, pain while chewing or swallowing; paralysis or numbness, usually in the arms or legs; and visual disturbances, such as double vision, blurred vision, or blindness
                
Some of the better understood vasculitis syndromes are temporal arteritis (also called giant cell arteritis or cranial arteritis--a chronic inflammatory disorder of large blood vessels) and Takayasus disease, which affects larger aortas and may cause stoke.",NINDS,Vasculitis Syndromes of the Central and Peripheral Nervous Systems
What is the outlook for Septo-Optic Dysplasia ?,The prognosis for individuals with SOD varies according to the presence and severity of symptoms.,NINDS,Septo-Optic Dysplasia
How to diagnose Familial isolated hyperparathyroidism ?,"How is familial isolated hyperparathyroidism diagnosed? The diagnosis of familial isolated hyperparathyroidism (FIHP) is primarily a diagnosis of exclusion. This means that it is diagnosed when no symptoms or genetic features of other forms of familial hyperparathyroidism are present. FIHP may be the only feature of another condition that is not manifesting completely, or it may be a distinct condition due to mutations in genes that have not yet been identified. Clinical exams, laboratory tests, and histological (microscopic) findings are needed before making a diagnosis of FIHP. A diagnosis of FIHP may include the findings of: hypercalcemia (defined as a serum calcium level greater than 10.5 mg/dL) inappropriately high parathyroid hormone (PTH) concentrations parathyroid adenomas exclusion of multiple endocrine neoplasia type 1 (MEN 1) and hyperparathyroidism-jaw tumor syndrome (HPT-JT) In the majority of people with FIHP, genetic mutations are not found. However, in some people, mutations in the MEN1, CASR, and CDC73 (HRPT2) genes have been reported. At this time, no gene has been associated exclusively with FIHP.",GARD,Familial isolated hyperparathyroidism
What is (are) hystrix-like ichthyosis with deafness ?,"Hystrix-like ichthyosis with deafness (HID) is a disorder characterized by dry, scaly skin (ichthyosis) and hearing loss that is usually profound. Hystrix-like means resembling a porcupine; in this type of ichthyosis, the scales may be thick and spiky, giving the appearance of porcupine quills.  Newborns with HID typically develop reddened skin. The skin abnormalities worsen over time, and the ichthyosis eventually covers most of the body, although the palms of the hands and soles of the feet are usually only mildly affected. Breaks in the skin may occur and in severe cases can lead to life-threatening infections. Affected individuals have an increased risk of developing a type of skin cancer called squamous cell carcinoma, which can also affect mucous membranes such as the inner lining of the mouth. People with HID may also have patchy hair loss caused by scarring on particular areas of skin.",GHR,hystrix-like ichthyosis with deafness
How many people are affected by mucolipidosis III gamma ?,"Mucolipidosis III gamma is a rare disorder, although its exact prevalence is unknown. It is estimated to occur in about 1 in 100,000 to 400,000 individuals worldwide.",GHR,mucolipidosis III gamma
What are the treatments for What I need to know about Kidney Failure and How Its Treated ?,"If you have kidney failure, learn about the treatments and think about which one best fits you. Talk with people who are on hemodialysis or peritoneal dialysis. Ask what is good and bad about each treatment. If you make a choice and find you dont like it, talk with your doctor about trying something else. Ask your doctor about the transplant waiting list and the medicines needed after a transplant. Talk with people who have had kidney transplants and ask how it has changed their lives.
                
If you plan to keep working, think about which treatment choice would make working easier. If spending time with family and friends means a lot to you, ask which treatment gives you the most free time. Find out which treatment will give you the best chance to be healthy and live longer.
                
If you are thinking about conservative management, you may wish to speak with your family, friends, doctor, or mental health counselor as you decide.
                
You can take control of your care by talking with your doctor. You may need time to get used to your new treatment. Kidney failure can make your life harder. Treatments can help improve your life.",NIDDK,What I need to know about Kidney Failure and How Its Treated
What are the treatments for Analgesic Nephropathy (Painkillers and the Kidneys) ?,"If you have been taking analgesics regularly to control chronic pain, you may be advised to find new ways to treat your pain, such as behavior modification or relaxation techniques. Depending on how much your kidney function has declined, you may be advised to change your diet, limit the fluids you drink, or take medications to avoid anemia and bone problems caused by kidney disease. Your doctor will monitor your kidney function with regular urine and blood tests.",NIDDK,Analgesic Nephropathy (Painkillers and the Kidneys)
What is (are) Sacrococcygeal Teratoma ?,"A sacrococcygeal teratoma is a tumor that grows at the base of the spine in a developing fetus.  It occurs in one in 40,000 newborns and girls are four times more likely to be affected than boys.  Though it is usually benign, there is a possibility that the teratoma could become malignant.  As such, the recommended treatment of a teratoma is complete removal of the tumor by surgery, performed soon after the birth.  If not all of the tumor is removed during the initial surgery, the teratoma may grow back (recur) and additional surgeries may be needed.  Studies have found that sacrococcygeal teratomas recur in up to 22% of cases.",GARD,Sacrococcygeal Teratoma
Who is at risk for Lymphocytic Choriomeningitis (LCM)? ?,"LCMV infections can occur after exposure to fresh urine, droppings, saliva, or nesting materials from infected rodents.  Transmission may also occur when these materials are directly introduced into broken skin, the nose, the eyes, or the mouth, or presumably, via the bite of an infected rodent. Person-to-person transmission has not been reported, with the exception of vertical transmission from infected mother to fetus, and rarely, through organ transplantation.",CDC,Lymphocytic Choriomeningitis (LCM)
What are the genetic changes related to juvenile idiopathic arthritis ?,"Juvenile idiopathic arthritis is thought to arise from a combination of genetic and environmental factors. The term ""idiopathic"" indicates that the specific cause of the disorder is unknown. Its signs and symptoms result from excessive inflammation in and around the joints. Inflammation occurs when the immune system sends signaling molecules and white blood cells to a site of injury or disease to fight microbial invaders and facilitate tissue repair. Normally, the body stops the inflammatory response after healing is complete to prevent damage to its own cells and tissues. In people with juvenile idiopathic arthritis, the inflammatory response is prolonged, particularly during movement of the joints. The reasons for this excessive inflammatory response are unclear.  Researchers have identified changes in several genes that may influence the risk of developing juvenile idiopathic arthritis. Many of these genes belong to a family of genes that provide instructions for making a group of related proteins called the human leukocyte antigen (HLA) complex. The HLA complex helps the immune system distinguish the body's own proteins from proteins made by foreign invaders (such as viruses and bacteria). Each HLA gene has many different normal variations, allowing each person's immune system to react to a wide range of foreign proteins. Certain normal variations of several HLA genes seem to affect the risk of developing juvenile idiopathic arthritis, and the specific type of the condition that a person may have.  Normal variations in several other genes have also been associated with juvenile idiopathic arthritis. Many of these genes are thought to play roles in immune system function. Additional unknown genetic influences and environmental factors, such as infection and other issues that affect immune health, are also likely to influence a person's chances of developing this complex disorder.",GHR,juvenile idiopathic arthritis
What are the symptoms of Congenital rubella ?,"What are the signs and symptoms of Congenital rubella? The Human Phenotype Ontology provides the following list of signs and symptoms for Congenital rubella. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Cataract 90% Intrauterine growth retardation 90% Neurological speech impairment 90% Sensorineural hearing impairment 90% Abnormality of retinal pigmentation 50% Abnormality of the fontanelles or cranial sutures 50% Abnormality of the pulmonary artery 50% Anemia 50% Aplasia/Hypoplasia of the iris 50% Atria septal defect 50% Cognitive impairment 50% Glaucoma 50% Hepatomegaly 50% Hypertonia 50% Microcephaly 50% Muscular hypotonia 50% Nystagmus 50% Patent ductus arteriosus 50% Short stature 50% Skin rash 50% Splenomegaly 50% Strabismus 50% Thrombocytopenia 50% Ventricular septal defect 50% Visual impairment 50% Abnormality of the metaphyses 7.5% Opacification of the corneal stroma 7.5% Seizures 7.5% Type I diabetes mellitus 7.5% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Congenital rubella
What are the symptoms of West syndrome ?,"What are the signs and symptoms of West syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for West syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Cognitive impairment 90% Hemiplegia/hemiparesis 90% Hypertonia 90% Seizures 90% Choreoathetosis - Dysphagia - Dyspnea - Dystonia - Epileptic encephalopathy - Generalized myoclonic seizures - Hyperreflexia - Hypsarrhythmia - Intellectual disability - Microcephaly - Muscular hypotonia of the trunk - Spasticity - Ventriculomegaly - X-linked recessive inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,West syndrome
Is pulmonary alveolar microlithiasis inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",GHR,pulmonary alveolar microlithiasis
Do you have information about Cancer--Living with Cancer,"Summary : Cancer is common. Half of all men and a third of women will get a diagnosis of cancer in their lifetime. Many people with cancer do survive. Millions of Americans alive today have a history of cancer.    For most people with cancer, living with the disease is the biggest challenge they have ever faced. It can change your routines, roles and relationships. It can cause money and work problems. The treatment can change the way you feel and look. Learning more about ways you can help yourself may ease some of your concerns. Support from others is important.    All cancer survivors should have follow-up care. Knowing what to expect after cancer treatment can help you and your family make plans, lifestyle changes, and important decisions.    NIH: National Cancer Institute",MPlusHealthTopics,Cancer--Living with Cancer
What is (are) Cyclic Vomiting Syndrome ?,"The GI tract is a series of hollow organs joined in a long, twisting tube from the mouth to the anusthe opening through which stool leaves the body. The body digests food using the movement of muscles in the GI tract, along with the release of hormones and enzymes. Cyclic vomiting syndrome affects the upper GI tract, which includes the mouth, esophagus, stomach, small intestine, and duodenum, the first part of the small intestine. The esophagus is the muscular tube that carries food and liquids from the mouth to the stomach. The stomach slowly pumps the food and liquids through the duodenum and into the rest of the small intestine, which absorbs nutrients from food particles. This process is automatic and people are usually not aware of it, though people sometimes feel food in their esophagus when they swallow something too large, try to eat too quickly, or drink hot or cold liquids.",NIDDK,Cyclic Vomiting Syndrome
What is (are) Chronic Fatigue Syndrome ?,"Chronic fatigue syndrome (CFS) is a disorder that causes extreme fatigue. This fatigue is not the kind of tired feeling that goes away after you rest. Instead, it lasts a long time and limits your ability to do ordinary daily activities.    The main symptom of CFS is severe fatigue that lasts for 6 months or more. You also have at least four of these other symptoms:       - Feeling unwell for more than 24 hours after physical activity    - Muscle pain    - Memory problems    - Headaches    - Pain in multiple joints    - Sleep problems    - Sore throat    - Tender lymph nodes       CFS is hard to diagnose. There are no tests for it, and other illnesses can cause similar symptoms. Your doctor has to rule out other diseases before making a diagnosis of CFS.    No one knows what causes CFS. It is most common in women in their 40s and 50s, but anyone can have it. It can last for years. There is no cure for CFS, so the goal of treatment is to improve symptoms. Medicine may treat pain, sleep disorders, and other problems. Lifestyle changes, coping techniques, and a special, gradual exercise program can also help.    Centers for Disease Control and Prevention",MPlusHealthTopics,Chronic Fatigue Syndrome
How to diagnose Opitz G/BBB syndrome ?,"How is Opitz G/BBB syndrome diagnosed? The diagnosis of Opitz G/BBB syndrome is usually based on clinical findings. In order to differentiate the X-linked form from 22q11.2 deletion syndrome (the autosomal dominant form), the pattern of inheritance within the family may be assessed. Molecular genetic testing for mutations in the MID1 gene is available for confirmation. Between 15 and 45% of males with clinically diagnosed Opitz G/BBB syndrome are found to have a mutation in this gene.",GARD,Opitz G/BBB syndrome
Who is at risk for Prostate Cancer? ?,"Scientists don't know exactly what causes prostate cancer. They cannot explain why one man gets prostate cancer and another does not. However, they have been able to identify some risk factors that are associated with the disease. A risk factor is anything that increases your chances of getting a disease. Age Age is the most important risk factor for prostate cancer. The disease is extremely rare in men under age 40, but the risk increases greatly with age. More than 60 percent of cases are diagnosed in men over age 65. The average age at the time of diagnosis is 65. Race Race is another major risk factor. In the United States, this disease is much more common in African American men than in any other group of men. It is least common in Asian and American Indian men. Family History A man's risk for developing prostate cancer is higher if his father or brother has had the disease. Other Risk Factors Scientists have wondered whether obesity, lack of exercise, smoking, radiation exposure, might increase risk. But at this time, there is no firm evidence that these factors contribute to an increased risk.",NIHSeniorHealth,Prostate Cancer
What causes McCune Albright syndrome ?,"What causes McCune Albright syndrome? McCune Albright syndrome (MAS) is caused by a change (mutation) in the GNAS gene. This gene provides instructions for making part of a protein that ultimately influences many cell functions by regulating hormone activity. GNAS gene mutations that cause MAS result in a protein that causes the enzyme adenylate cyclase to be constantly turned on. This, in turn, leads to over-production of several hormones, resulting in the signs and symptoms of MAS.",GARD,McCune Albright syndrome
How to diagnose Salivary Gland Cancer ?,"Tests that examine the head, neck, and the inside of the mouth are used to detect (find) and diagnose salivary gland cancer. The following procedures may be used:         -  Physical exam and history : An exam of the body to check general signs of health. The head, neck, mouth, and throat will be checked for signs of disease, such as lumps or anything else that seems unusual. A history of the patient's health habits and past illnesses and treatments will also be taken.    -   MRI (magnetic resonance imaging): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the body. This procedure is also called nuclear magnetic resonance imaging (NMRI).    -   CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography.     -   PET scan (positron emission tomography scan): A procedure to find malignant tumor cells in the body. A small amount of radioactive glucose (sugar) is injected into a vein. The PET scanner rotates around the body and makes a picture of where glucose is being used in the body. Malignant tumor cells show up brighter in the picture because they are more active and take up more glucose than normal cells do.    -   Endoscopy : A procedure to look at organs and tissues inside the body to check for abnormal areas. For salivary gland cancer, an endoscope is inserted into the mouth to look at the mouth, throat, and larynx. An endoscope is a thin, tube-like instrument with a light and a lens for viewing.     -   Biopsy : The removal of cells or tissues so they can be viewed under a microscope by a pathologist to check for signs of cancer.               -  Fine needle aspiration (FNA) biopsy : The removal of tissue or fluid using a thin needle. An FNA is the most common type of biopsy used for salivary gland cancer.      -  Incisional biopsy : The removal of part of a lump or a sample of tissue that doesnt look normal.      -  Surgery : If cancer cannot be diagnosed from the sample of tissue removed during an FNA biopsy or an incisional biopsy, the mass may be removed and checked for signs of cancer.                 Because salivary gland cancer can be hard to diagnose, patients should ask to have the tissue samples checked by a pathologist who has experience in diagnosing salivary gland cancer.",CancerGov,Salivary Gland Cancer
"What are the symptoms of Deafness, autosomal dominant nonsyndromic sensorineural 22 ?","What are the signs and symptoms of Deafness, autosomal dominant nonsyndromic sensorineural 22? The Human Phenotype Ontology provides the following list of signs and symptoms for Deafness, autosomal dominant nonsyndromic sensorineural 22. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal dominant inheritance - Sensorineural hearing impairment - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,"Deafness, autosomal dominant nonsyndromic sensorineural 22"
What are the symptoms of Spondylometaphyseal dysplasia with dentinogenesis imperfecta ?,"What are the signs and symptoms of Spondylometaphyseal dysplasia with dentinogenesis imperfecta? The Human Phenotype Ontology provides the following list of signs and symptoms for Spondylometaphyseal dysplasia with dentinogenesis imperfecta. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Brachydactyly syndrome 90% Joint hypermobility 90% Micromelia 90% Narrow chest 90% Platyspondyly 90% Short stature 90% Delayed eruption of teeth 50% Scoliosis 50% Depressed nasal bridge 7.5% Frontal bossing 7.5% Patent ductus arteriosus 7.5% Short nose 7.5% Strabismus 7.5% Autosomal dominant inheritance - Biconvex vertebral bodies - Cone-shaped epiphyses of the phalanges of the hand - Coronal cleft vertebrae - Delayed ossification of carpal bones - Dentinogenesis imperfecta - Flared iliac wings - Flat acetabular roof - Genu recurvatum - Genu varum - Irregular epiphyses - Long philtrum - Mesomelia - Metaphyseal cupping - Metaphyseal widening - Motor delay - Narrow face - Osteoporosis - Pectus carinatum - Prominent forehead - Respiratory distress - Short long bone - Short metacarpal - Short phalanx of finger - Small epiphyses - Spondylometaphyseal dysplasia - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Spondylometaphyseal dysplasia with dentinogenesis imperfecta
How many people are affected by familial glucocorticoid deficiency ?,The prevalence of familial glucocorticoid deficiency is unknown.,GHR,familial glucocorticoid deficiency
What is (are) Satoyoshi syndrome ?,"Satoyoshi syndrome is a rare condition characterized by progressive, painful, intermittent muscle spasms, diarrhea or unusual malabsorption, amenorrhea, alopecia universalis, short stature, and skeletal abnormalities. Progressive painful intermittent muscle spasms usually start between 6 to 15 years of age. Alopecia universalis also appears around age 10. About half of affected individuals experience malabsorption, specifically of carbohydrates. The skeletal abnormalities may be secondary to muscle spasms. The main endocrine disorder is primary amenorrhea. All cases have apparently been sporadic, even when occurring in large families. The exact cause is unknown; but some researchers have speculated that Satoyoshi syndrome is an autoimmune disorder.",GARD,Satoyoshi syndrome
What is (are) atopic dermatitis ?,"Atopic dermatitis (also known as atopic eczema) is a disorder characterized by inflammation of the skin (dermatitis). The condition usually begins in early infancy, and it often disappears before adolescence. However, in some affected individuals the condition continues into adulthood or does not begin until adulthood. Hallmarks of atopic dermatitis include dry, itchy skin and red rashes that can come and go. The rashes can occur on any part of the body, although the pattern tends to be different at different ages. In affected infants, the rashes commonly occur on the face, scalp, hands, and feet. In children, the rashes are usually found in the bend of the elbows and knees and on the front of the neck. In adolescents and adults, the rashes typically occur on the wrists, ankles, and eyelids in addition to the bend of the elbows and knees. Scratching the itchy skin can lead to oozing and crusting of the rashes and thickening and hardening (lichenification) of the skin. The itchiness can be so severe as to disturb sleep and impair a person's quality of life.  The word ""atopic"" indicates an association with allergies. While atopic dermatitis is not always due to an allergic reaction, it is commonly associated with other allergic disorders: up to 60 percent of people with atopic dermatitis develop asthma or hay fever (allergic rhinitis) later in life, and up to 30 percent have food allergies. Atopic dermatitis is often the beginning of a series of allergic disorders, referred to as the atopic march. Development of these disorders typically follows a pattern, beginning with atopic dermatitis, followed by food allergies, then hay fever, and finally asthma. However, not all individuals with atopic dermatitis will progress through the atopic march, and not all individuals with one allergic disease will develop others.  Individuals with atopic dermatitis have an increased risk of developing other conditions related to inflammation, such as inflammatory bowel disease and rheumatoid arthritis. They are also more likely than individuals of the general public to have a behavioral or psychiatric disorder, such as attention deficit hyperactivity disorder (ADHD) or depression.",GHR,atopic dermatitis
What causes Fecal Incontinence ?,"Fecal incontinence has many causes, including
                
- diarrhea  - constipation  - muscle damage or weakness  - nerve damage  - loss of stretch in the rectum  - childbirth by vaginal delivery  - hemorrhoids and rectal prolapse  - rectocele  - inactivity
                
Diarrhea
                
Diarrhea can cause fecal incontinence. Loose stools fill the rectum quickly and are more difficult to hold than solid stools. Diarrhea increases the chance of not reaching a bathroom in time.
                
Constipation
                
Constipation can lead to large, hard stools that stretch the rectum and cause the internal sphincter muscles to relax by reflex. Watery stool builds up behind the hard stool and may leak out around the hard stool, leading to fecal incontinence.
                
The type of constipation that is most likely to lead to fecal incontinence occurs when people are unable to relax their external sphincter and pelvic floor muscles when straining to have a bowel movement, often mistakenly squeezing these muscles instead of relaxing them. This squeezing makes it difficult to pass stool and may lead to a large amount of stool in the rectum. This type of constipation, called dyssynergic defecation or disordered defecation, is a result of faulty learning. For example, children or adults who have pain when having a bowel movement may unconsciously learn to squeeze their muscles to delay the bowel movement and avoid pain.
                
Muscle Damage or Weakness
                
Injury to one or both of the sphincter muscles can cause fecal incontinence. If these muscles, called the external and internal anal sphincter muscles, are damaged or weakened, they may not be strong enough to keep the anus closed and prevent stool from leaking.
                
Trauma, childbirth injuries, cancer surgery, and hemorrhoid surgery are possible causes of injury to the sphincters. Hemorrhoids are swollen blood vessels in and around the anus and lower rectum.
                
Nerve Damage
                
The anal sphincter muscles wont open and close properly if the nerves that control them are damaged. Likewise, if the nerves that sense stool in the rectum are damaged, a person may not feel the urge to go to the bathroom. Both types of nerve damage can lead to fecal incontinence. Possible sources of nerve damage are childbirth; a long-term habit of straining to pass stool; spinal cord injury; and diseases, such as diabetes and multiple sclerosis, that affect the nerves that go to the sphincter muscles and rectum. Brain injuries from stroke, head trauma, or certain diseases can also cause fecal incontinence.
                
Loss of Stretch in the Rectum
                
Normally, the rectum stretches to hold stool until a person has a bowel movement. Rectal surgery, radiation treatment, and inflammatory bowel diseaseschronic disorders that cause irritation and sores on the lining of the digestive systemcan cause the rectal walls to become stiff. The rectum then cant stretch as much to hold stool, increasing the risk of fecal incontinence.
                
Childbirth by Vaginal Delivery
                
Childbirth sometimes causes injuries to muscles and nerves in the pelvic floor. The risk is greater if forceps are used to help deliver the baby or if an episiotomya cut in the vaginal area to prevent the babys head from tearing the vagina during birthis performed. Fecal incontinence related to childbirth can appear soon after delivery or many years later.
                
Hemorrhoids and Rectal Prolapse
                
External hemorrhoids, which develop under the skin around the anus, can prevent the anal sphincter muscles from closing completely. Rectal prolapse, a condition that causes the rectum to drop down through the anus, can also prevent the anal sphincter muscles from closing well enough to prevent leakage. Small amounts of mucus or liquid stool can then leak through the anus.
                
Rectocele
                
Rectocele is a condition that causes the rectum to protrude through the vagina. Rectocele can happen when the thin layer of muscles separating the rectum from the vagina becomes weak. For women with rectocele, straining to have a bowel movement may be less effective because rectocele reduces the amount of downward force through the anus. The result may be retention of stool in the rectum. More research is needed to be sure rectocele increases the risk of fecal incontinence.
                
Inactivity
                
People who are inactive, especially those who spend many hours a day sitting or lying down, have an increased risk of retaining a large amount of stool in the rectum. Liquid stool can then leak around the more solid stool. Frail, older adults are most likely to develop constipation-related fecal incontinence for this reason.",NIDDK,Fecal Incontinence
Is Olivopontocerebellar atrophy inherited ?,"Is olivopontocerebellar atrophy inherited? Olivopontocerebellar atrophy (OPCA) may be associated with conditions that are inherited (genetic), or it may occur sporadically. Genetic forms of OPCA may be inherited in an autosomal dominant, autosomal recessive, or X-linked manner. The inheritance pattern depends on the specific genetic cause. For example, OPCA associated with spinocerebellar ataxia 3 is inherited in an autosomal dominant manner. Most types of inherited OPCA are associated with spinocerebellar ataxias that follow autosomal dominant inheritance.   Sporadic OPCA refers to when the condition occurs for unknown reasons, or when there is no evidence of a genetic basis. Some people with sporadic OPCA will eventually develop multiple system atrophy (MSA). People with a personal or family history of OPCA are encouraged to speak with a genetic counselor or other genetics professional. A genetics professional can evaluate the family history; address questions and concerns; assess recurrence risks; and facilitate genetic testing if desired.",GARD,Olivopontocerebellar atrophy
What are the genetic changes related to Noonan syndrome ?,"Mutations in the PTPN11, SOS1, RAF1, KRAS, NRAS and BRAF genes cause Noonan syndrome.  Most cases of Noonan syndrome result from mutations in one of three genes, PTPN11, SOS1, or RAF1. PTPN11 gene mutations account for approximately 50 percent of all cases of Noonan syndrome. SOS1 gene mutations account for 10 to 15 percent and RAF1 gene mutations account for 5 to 10 percent of Noonan syndrome cases. About 2 percent of people with Noonan syndrome have mutations in the KRAS gene and usually have a more severe or atypical form of the disorder. It is not known how many cases are caused by mutations in the BRAF or NRAS genes, but it is likely a very small proportion. The cause of Noonan syndrome in the remaining 20 percent of people with this disorder is unknown.  The PTPN11, SOS1, RAF1, KRAS, NRAS and BRAF genes all provide instructions for making proteins that are important in signaling pathways needed for the proper formation of several types of tissue during development. These proteins also play roles in cell division, cell movement, and cell differentiation (the process by which cells mature to carry out specific functions). Mutations in any of the genes listed above cause the resulting protein to be continuously active, rather than switching on and off in response to cell signals. This constant activation disrupts the regulation of systems that control cell growth and division, leading to the characteristic features of Noonan syndrome.",GHR,Noonan syndrome
What is (are) Asbestos-Related Lung Diseases ?,"Asbestos-related lung diseases are diseases caused by exposure to asbestos (as-BES-tos) fibers. Asbestos is a mineral that, in the past, was widely used in many industries.
                
Asbestos is made up of tiny fibers that can escape into the air. When breathed in, these fibers can stay in your lungs for a long time. If the fibers build up in your lungs, they can lead to:
                
Pleural plaque. In this condition, the tissue around the lungs and diaphragm (the muscle below your lungs) thickens and hardens. This tissue is called the pleura. Pleural plaque usually causes no symptoms. Rarely, as the pleura thickens, it can trap and compress part of the lung. This may show up as a mass on an x-ray image.
                
Pleural effusion. In this condition, excess fluid builds up in the pleural space. The pleural space is the area between the lungs and the chest wall.
                
Asbestosis (as-bes-TOE-sis). In this condition, the lung tissue becomes scarred. People who have asbestosis are at greater risk for lung cancer, especially if they smoke.
                
Lung cancer. This type of cancer forms in the lung tissue, usually in the cells lining the air passages.
                
Mesothelioma (MEZ-o-thee-lee-O-ma). This disease is cancer of the pleura.
                
Asbestos also can cause cancer in the lining of the abdominal cavity. This lining is known as the peritoneum (PER-ih-to-NE-um).
                
Asbestos-Related Lung Diseases
                

                
Overview
                
Until the 1970s, asbestos was widely used in many industries in the United States. For example, it was used to insulate pipes, boilers, and ships; make brakes; strengthen cement; and fireproof many items, such as drywall.
                
People who worked around asbestos during that time are at risk for asbestos-related lung diseases. People at highest risk include:
                
Unprotected workers who made, installed, or removed products containing asbestos. People who worked near others who did these jobs also are at risk.
                
Family members of workers who were exposed to asbestos. Family members may have breathed in asbestos fibers that workers brought home on their clothes, shoes, or bodies.
                
People who live in areas with large deposits of asbestos in the soil. This risk is limited to areas where the deposits were disturbed and asbestos fibers got into the air.
                
Asbestos fibers also can be released into the air when older buildings containing asbestos-made products are destroyed. Removing these products during building renovations also can release asbestos fibers into the air.
                
Generally, being around asbestos-made products isnt a danger as long as the asbestos is enclosed. This prevents the fibers from getting into the air.
                
People in the United States are less likely to have asbestos-related lung diseases now because the mineral is no longer widely used.
                
The use of asbestos is heavily restricted, and rules and standards are now in place to protect workers and others from asbestos exposure. Asbestos is found in only a few new products, such as gaskets used in brakes.
                
However, many countries do not yet restrict asbestos use. People in those countries are still exposed to the mineral.
                
Outlook
                
The outlook for people who have asbestos-related lung diseases can vary. It will depend on which disease a person has and how much it has damaged the lungs.
                
No treatments can reverse the effects of asbestos on your lungs. However, treatments may help relieve symptoms, slow the progress of the disease, and prevent complications.
                
If you've been exposed to asbestos, let your doctor know. He or she can watch you for signs of asbestos-related problems and start treatment early, if needed. Early treatment may help prevent or delay complications.
                
Quitting smoking and making other lifestyle changes may help people who are at high risk for asbestos-related lung diseases. These lifestyle changes may prevent more serious diseases, such as cancer.",NHLBI,Asbestos-Related Lung Diseases
